Step: 1940, Elapsed: 458.43s, Loss: 139.787903, Valid Loss: 133.354782, y_init: 28.843164
Step: 1950, Elapsed: 460.69s, Loss: 132.841751, Valid Loss: 120.726952, y_init: 34.122555
Step: 1960, Elapsed: 462.88s, Loss: 128.268066, Valid Loss: 111.941826, y_init: 34.076172
Step: 1970, Elapsed: 465.14s, Loss: 125.903023, Valid Loss: 141.690186, y_init: 33.667271
Step: 1980, Elapsed: 467.33s, Loss: 121.564835, Valid Loss: 110.839127, y_init: 34.308323
Step: 1990, Elapsed: 469.59s, Loss: 141.159332, Valid Loss: 129.419373, y_init: 40.282223
Step: 2000, Elapsed: 471.78s, Loss: 402.660828, Valid Loss: 726.645447, y_init: 36.162685
Step: 2010, Elapsed: 474.03s, Loss: 144.686325, Valid Loss: 159.974228, y_init: 38.147633
Step: 2020, Elapsed: 476.27s, Loss: 157.419098, Valid Loss: 155.147583, y_init: 39.553902
Step: 2030, Elapsed: 478.45s, Loss: 5167.664551, Valid Loss: 10254.371094, y_init: 38.227379
Step: 2040, Elapsed: 480.71s, Loss: 359.991852, Valid Loss: 357.476532, y_init: 45.366714
Step: 2050, Elapsed: 482.89s, Loss: 223.297241, Valid Loss: 231.504974, y_init: 35.288876
Step: 2060, Elapsed: 485.15s, Loss: 210.495941, Valid Loss: 231.948044, y_init: 38.005844
Step: 2070, Elapsed: 487.40s, Loss: 188.520447, Valid Loss: 162.359604, y_init: 38.510475
Step: 2080, Elapsed: 489.60s, Loss: 165.722931, Valid Loss: 123.681816, y_init: 47.112473
Step: 2090, Elapsed: 491.85s, Loss: 4063.313477, Valid Loss: 502.743774, y_init: 43.957798
Step: 2100, Elapsed: 494.05s, Loss: 122.683228, Valid Loss: 120.771774, y_init: 46.599731
Step: 2110, Elapsed: 496.31s, Loss: 100.596626, Valid Loss: 125.106873, y_init: 45.878990
Step: 2120, Elapsed: 498.56s, Loss: 189.303513, Valid Loss: 194.337128, y_init: 52.824257
Step: 2130, Elapsed: 500.76s, Loss: 188.077362, Valid Loss: 256.443176, y_init: 51.799408
Step: 2140, Elapsed: 503.02s, Loss: 361.953430, Valid Loss: 605.612732, y_init: 53.212685
Step: 2150, Elapsed: 505.22s, Loss: 125.271133, Valid Loss: 129.178040, y_init: 54.602604
Step: 2160, Elapsed: 507.48s, Loss: 2783.341309, Valid Loss: 5325.014648, y_init: 64.016281
Step: 2170, Elapsed: 509.69s, Loss: 135.088165, Valid Loss: 117.915024, y_init: 55.072002
Step: 2180, Elapsed: 511.96s, Loss: 175.643387, Valid Loss: 168.234329, y_init: 60.862644
Step: 2190, Elapsed: 514.22s, Loss: 164.365906, Valid Loss: 122.619141, y_init: 58.444668
Step: 2200, Elapsed: 516.41s, Loss: 137.963425, Valid Loss: 152.879715, y_init: 63.529678
Step: 2210, Elapsed: 518.67s, Loss: 120.978172, Valid Loss: 118.204109, y_init: 64.677734
Step: 2220, Elapsed: 520.87s, Loss: 160.618484, Valid Loss: 181.369781, y_init: 65.851059
Step: 2230, Elapsed: 523.13s, Loss: 120.874245, Valid Loss: 126.729477, y_init: 68.685356
Step: 2240, Elapsed: 525.40s, Loss: 112.353706, Valid Loss: 99.568741, y_init: 70.893417
Step: 2250, Elapsed: 527.59s, Loss: 139.012970, Valid Loss: 158.719147, y_init: 73.118134
Step: 2260, Elapsed: 529.85s, Loss: 101.776489, Valid Loss: 106.360916, y_init: 66.928154
Step: 2270, Elapsed: 532.05s, Loss: 179.714554, Valid Loss: 138.273849, y_init: 70.530975
Step: 2280, Elapsed: 534.31s, Loss: 141.416702, Valid Loss: 146.993057, y_init: 73.920792
Step: 2290, Elapsed: 536.54s, Loss: 224.100082, Valid Loss: 334.494995, y_init: 75.637939
Step: 2300, Elapsed: 538.71s, Loss: 152.057480, Valid Loss: 128.794937, y_init: 74.209457
Step: 2310, Elapsed: 540.95s, Loss: 132.654968, Valid Loss: 171.910828, y_init: 74.515450
Step: 2320, Elapsed: 543.12s, Loss: 157.764420, Valid Loss: 141.458252, y_init: 77.408455
Step: 2330, Elapsed: 545.37s, Loss: 120.853035, Valid Loss: 118.392471, y_init: 75.202881
Step: 2340, Elapsed: 547.54s, Loss: 172.051102, Valid Loss: 188.890106, y_init: 82.279076
Step: 2350, Elapsed: 549.78s, Loss: 178.769608, Valid Loss: 141.520981, y_init: 74.181831
Step: 2360, Elapsed: 552.01s, Loss: 120.969086, Valid Loss: 120.305649, y_init: 80.009796
Step: 2370, Elapsed: 554.19s, Loss: 112.955231, Valid Loss: 117.044983, y_init: 82.939003
Step: 2380, Elapsed: 556.43s, Loss: 127.685272, Valid Loss: 107.045433, y_init: 84.627419
